GroupName,Type,Location,Description
GG_secOSUK1PREL1WFS01_LONARCH01_FC,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LONARCH01 Share
GG_secOSUK1PREL1WFS01_LONARCH01_RO,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LONARCH01 Share
GG_secOSUK1PREL1WFS01_LONARCH01_RW,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LONARCH01 Share
DL_secOSUK1PREL1WFS01_LONARCH01_FC,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LONARCH01 Share
DL_secOSUK1PREL1WFS01_LONARCH01_RO,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LONARCH01 Share
DL_secOSUK1PREL1WFS01_LONARCH01_RW,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LONARCH01 Share
GG_secOSUK1PREL1WFS01_LONARCH02_FC,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LONARCH02 Share
GG_secOSUK1PREL1WFS01_LONARCH02_RO,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LONARCH02 Share
GG_secOSUK1PREL1WFS01_LONARCH02_RW,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LONARCH02 Share
DL_secOSUK1PREL1WFS01_LONARCH02_FC,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LONARCH02 Share
DL_secOSUK1PREL1WFS01_LONARCH02_RO,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LONARCH02 Share
DL_secOSUK1PREL1WFS01_LONARCH02_RW,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LONARCH02 Share
GG_secOSUK1PREL1WFS01_LonData03-Production_FC,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LonData03-Production Share
GG_secOSUK1PREL1WFS01_LonData03-Production_RO,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LonData03-Production Share
GG_secOSUK1PREL1WFS01_LonData03-Production_RW,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LonData03-Production Share
DL_secOSUK1PREL1WFS01_LonData03-Production_FC,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LonData03-Production Share
DL_secOSUK1PREL1WFS01_LonData03-Production_RO,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LonData03-Production Share
DL_secOSUK1PREL1WFS01_LonData03-Production_RW,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LonData03-Production Share
