Cust #,Customer Name,Media #,Media Identifier,CreatedDate,Status,Logical Vault,DRP,Rtn-date,MT,CONT/OM,Slot #,Date In,Date Out,Generation,Description                                                   
U092,"KLDiscovery Limited","000002L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-10-000309,31/08/2016,,,
U092,"KLDiscovery Limited","000004L3",,29/01/2020,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,15-029-003-04-000156,12/08/2021,,,000004L3
U092,"KLDiscovery Limited","000005L3",,29/01/2020,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,15-029-003-05-000186,02/09/2021,,,000005L3
U092,"KLDiscovery Limited","000006L3",,17/11/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-05-000138,18/03/2021,,,000006L3
U092,"KLDiscovery Limited","000007L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-03-000084,31/08/2016,,,
U092,"KLDiscovery Limited","000008L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-15-000459,31/08/2016,,,
U092,"KLDiscovery Limited","000009L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000010L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-09-000288,01/09/2016,,,
U092,"KLDiscovery Limited","000011L3",,29/01/2020,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-18-000564,25/02/2021,,,000011L3
U092,"KLDiscovery Limited","000012L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-14-000445,01/09/2016,,,
U092,"KLDiscovery Limited","000014L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000015L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-15-000475,01/09/2016,,,
U092,"KLDiscovery Limited","000016L3",,31/08/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/07/2017,,
U092,"KLDiscovery Limited","000019L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-05-000151,31/08/2016,,,
U092,"KLDiscovery Limited","000021L3",,01/09/2016,Delivered,"DLT/LTO",,01/12/2016,"T -DLT / TK80",OPENMEDIA,,01/09/2016,01/12/2016,,
U092,"KLDiscovery Limited","000022L3",,31/08/2016,Delivered,"DLT/LTO",,25/10/2018,"T -DLT / TK80",OPENMEDIA,,31/08/2016,25/10/2018,,
U092,"KLDiscovery Limited","000023L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-14-000433,01/09/2016,,,
U092,"KLDiscovery Limited","000024L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-14-000422,05/08/2021,,,000024L3
U092,"KLDiscovery Limited","000026L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-15-000479,31/08/2016,,,
U092,"KLDiscovery Limited","000027L3",,05/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-15-000470,05/08/2021,,,000027L3
U092,"KLDiscovery Limited","000030L3",,29/01/2020,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,15-029-003-03-000091,12/08/2021,,,000030L3
U092,"KLDiscovery Limited","000031L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-12-000353,05/08/2021,,,000031L3
U092,"KLDiscovery Limited","000031L4",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000032L4",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000033L3",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000033L4",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000034L4",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000035L4",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000037L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-17-000520,31/08/2016,,,
U092,"KLDiscovery Limited","000039L3",,31/08/2016,Delivered,"DLT/LTO",,01/12/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,01/12/2016,,
U092,"KLDiscovery Limited","000040L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-03-000067,05/08/2021,,,000040L3
U092,"KLDiscovery Limited","000042L3",,31/08/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/07/2017,,
U092,"KLDiscovery Limited","000045L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000046L3",,31/08/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/07/2017,,
U092,"KLDiscovery Limited","000047L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-02-000060,31/08/2016,,,
U092,"KLDiscovery Limited","000048L3",,01/09/2016,Delivered,"DLT/LTO",,01/12/2016,"T -DLT / TK80",OPENMEDIA,,01/09/2016,01/12/2016,,
U092,"KLDiscovery Limited","000050L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000051L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000052L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000053L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000058L3",,29/01/2020,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-16-000489,22/04/2021,,,000058L3
U092,"KLDiscovery Limited","000059L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-09-000273,01/09/2016,,,
U092,"KLDiscovery Limited","000060L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000061L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-03-000096,05/08/2021,,,000061L3
U092,"KLDiscovery Limited","000062L3",,05/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-05-000157,05/08/2021,,,000062L3
U092,"KLDiscovery Limited","000063L3",,05/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-10-000293,05/08/2021,,,000063L3
U092,"KLDiscovery Limited","000064L3",,05/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-09-000277,05/08/2021,,,000064L3
U092,"KLDiscovery Limited","000065L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-04-000119,05/08/2021,,,000065L3
U092,"KLDiscovery Limited","000066L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000067L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-10-000308,31/08/2016,,,
U092,"KLDiscovery Limited","000069L3",,29/01/2020,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-15-000460,05/08/2021,,,000069L3
U092,"KLDiscovery Limited","000070L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-04-000109,31/08/2016,,,
U092,"KLDiscovery Limited","000073L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-03-000094,05/08/2021,,,
U092,"KLDiscovery Limited","000073L4",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000074L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-02-000045,05/08/2021,,,000074L3
U092,"KLDiscovery Limited","000074L4",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000075L3",,13/07/2017,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,13/07/2017,13/07/2017,,
U092,"KLDiscovery Limited","000076L3",,05/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-10-000316,05/08/2021,,,000076L3
U092,"KLDiscovery Limited","000076L4",,01/09/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/10/2016,,
U092,"KLDiscovery Limited","000077L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-10-000315,05/08/2021,,,000077L3
U092,"KLDiscovery Limited","000078L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-005-13-000405,05/08/2021,,,000078L3
U092,"KLDiscovery Limited","000078L4",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000079L4",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000080L4",,31/08/2016,Delivered,"DLT/LTO",,13/10/2016,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/10/2016,,
U092,"KLDiscovery Limited","000082L3",,29/01/2020,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-16-000507,19/08/2021,,,000082L3
U092,"KLDiscovery Limited","000085L3",,29/01/2020,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-12-000368,15/07/2021,,,000085L3
U092,"KLDiscovery Limited","000086L3",,01/09/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-04-000117,01/09/2016,,,
U092,"KLDiscovery Limited","000088L3",,29/01/2020,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,15-029-003-06-000238,22/07/2021,,,000088L3
U092,"KLDiscovery Limited","000090L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000091L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
U092,"KLDiscovery Limited","000092L3",,31/08/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,31/08/2016,13/07/2017,,
U092,"KLDiscovery Limited","000097L3",,31/08/2016,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-18-000546,31/08/2016,,,
U092,"KLDiscovery Limited","000100L3",,01/09/2016,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,01/09/2016,13/07/2017,,
