"JobName","VMCount","DataSize(GB)","BackupSize(GB)","OverallRatioX","SpaceSavedPct"
"JP-LDI-Service Fabric (C)","1","1.68","0.71","2.38:1","58%"
"JP-LT-Domain Controllers (C)","4","9.29","2.61","3.56:1","71.9%"
"JP-LT-Control Center","57","79.25","29.95","2.65:1","62.2%"
"JP-LDI-Global Services (C)","15","36.93","13.93","2.65:1","62.3%"
"JP-LDI-Processing-Exodus-FSZ (002) (C)","1","2.94","0.91","3.24:1","69.1%"
"JP-LT-Inview-File Servers (HIFS01) (C)","1","3.16","1.19","2.65:1","62.2%"
"JP-LT-File Servers (JP1P1LINFFSZ006) (C)","1","2.09","0.82","2.55:1","60.8%"
"JP-LDI-Processing-Exodus-FSZ (003) (C)","1","1.6","0.71","2.25:1","55.6%"
"JP-LT-Datamart","2","0","0","0.01:1","-7162.8%"
"JP-LDI-Nebula Hosting","11","7.07","2.63","2.68:1","62.7%"
"JP-LDI-Relativity (C)","20","112.38","50.15","2.24:1","55.4%"
"JP-LT-Datamart (C)","2","0","0","0.01:1","-7148.3%"
"JP-WIN-INCP1EINFFSZ001","1","3.81","1.82","2.09:1","52.1%"
"JP-LDI-Relativity-FSZ (JP1P1LRELFSZ001)","1","116.77","42.1","2.77:1","63.9%"
"JP-LT-File Servers (JP1P1LINFFSZ006)","1","2.09","0.82","2.55:1","60.8%"
"JP-LDI-Global Services-FSZ (002) (C)","1","1.51","0.62","2.44:1","59%"
"JP-LDI-Linux (C)","10","56.84","9.98","5.69:1","82.4%"
"JP-LT-File Servers (JP1P1LINFFSZ004)","1","1.28","0.54","2.35:1","57.5%"
"JP-LT-Inview","20","39.99","14.09","2.84:1","64.8%"
"JP-LDI-Relativity-FSZ (JP1P1LRELFSZ001) (C)","1","116.77","42.1","2.77:1","64%"
"JP-LT-File Servers (JPTOK4PIABKP01 + Others)","1","1.98","0.86","2.3:1","56.4%"
"JP-LDI-Processing-Exodus-FSZ (001+Others) (C)","1","21.04","18.64","1.13:1","11.4%"
"JP-LT-Service Fabric (C)","1","1.41","0.61","2.3:1","56.5%"
"JP-LT-Inview (C)","20","39.99","14.09","2.84:1","64.8%"
"JP-IT-Management (C)","10","319.5","35.31","9.05:1","88.9%"
"JP-LT-File Servers (JP1P1LINFFSZ004) (C)","1","1.28","0.54","2.35:1","57.5%"
"JP-LT-Inview-File Servers (HIFS03 + Others) (C)","1","2.95","1.13","2.61:1","61.6%"
"JP-LDI-Relativity","20","112.38","50.15","2.24:1","55.4%"
"JP-LDI-Global Services-FSZ (001+Others) (C)","1","1.64","0.6","2.75:1","63.7%"
"JP-LDI-Global Services-EFT Globalscape","2","66.88","0.83","80.52:1","98.8%"
"JP-LT-Service Fabric","1","1.41","0.61","2.3:1","56.5%"
"JP-LDI-Processing-Exodus-FSZ (004) (C)","1","1.6","0.65","2.46:1","59.4%"
"JP-LDI-Linux","9","6.84","3.8","1.8:1","44.4%"
"JP-LT-Inview-File Servers (HIFS02) (C)","1","24550.65","2426.5","10.12:1","90.1%"
"JP-LDI-Nebula Hosting-File Server","1","1.7","0.7","2.42:1","58.7%"
"JP-LT-File Servers (JP1P1LINFFSZ005)","1","1255.66","947.49","1.33:1","24.5%"
"JP-LT-Inview-File Servers (HIFS01)","1","3.16","1.19","2.64:1","62.1%"
"JP-LDI-Global Services-EFT Globalscape (C)","2","66.88","0.83","80.55:1","98.8%"
"JP-RemoteOffice","1","1.77","0.78","2.26:1","55.8%"
"JP-DR-All (C)","1","2.3","0.7","3.28:1","69.5%"
"JP-LT-File Servers (JP1P1LINFFSZ005) (C)","1","1255.66","947.49","1.33:1","24.5%"
"JP-LDI-Nebula Hosting-File Server (C)","1","1.7","0.7","2.43:1","58.8%"
"JP-LT-File Servers (JPTOK4PIABKP01 + Others) (C)","1","1.98","0.86","2.3:1","56.4%"
"JP-LDI-Service Fabric","1","1.68","0.71","2.38:1","58%"
"JP-LT-Core (C)","5","3.13","1.21","2.59:1","61.3%"
"JP-Hyper-V-Veeam","3","35.72","10.71","3.34:1","70%"
"JP-LDI-Processing","26","42.71","17.75","2.41:1","58.5%"
"JP-LT-Inview-File Servers (HIFS02)","1","24550.65","2426.51","10.12:1","90.1%"
"JP-DR-All","1","2.3","0.7","3.28:1","69.5%"
"JP-LDI-Processing (C)","26","42.71","17.75","2.41:1","58.5%"
"JP-LT-File Servers (JP1P1LINFFSZ003)","1","1.15","0.49","2.35:1","57.4%"
"JP-RemoteOffice (C)","1","1.77","0.78","2.26:1","55.8%"
"JP-LT-Inview-File Servers (HIFS03 + Others)","1","2.95","1.13","2.61:1","61.6%"
"JP-LDI-Global Services","15","36.93","13.93","2.65:1","62.3%"
"JP-LT-File Servers (JP1P1LINFFSZ003) (C)","1","1.15","0.49","2.35:1","57.5%"
"JP-LDI-Nebula Hosting (C)","11","7.07","2.63","2.68:1","62.7%"
"JP-LT-Domain Controllers","4","9.29","2.61","3.56:1","71.9%"
"JP-LT-Core","5","3.13","1.21","2.59:1","61.3%"
"JP-LT-Control Center (C)","58","694.25","406.11","1.71:1","41.5%"
"JP-IT-Management","9","19.5","7.98","2.44:1","59.1%"
"JP-Hyper-V-Veeam (C)","3","35.72","10.71","3.34:1","70%"
